ID,DDT_R2,DDT_logK
DNS0683,94.77690355,-2.110359674
DNS0684,93.29860736,-0.876611704
DNS0686,99.20699299,-2.564090312
DNS0687,98.7971839,-1.528485288
DNS0688,91.24379951,-2.294497601
DNS0689,97.34954695,-1.791509671
DNS0690,97.05579592,-1.382147983
DNS0691,95.75916338,-2.396141124
DNS0692,97.30349239,-2.215330075
DNS0693,83.51718047,-3.504244805
DNS0694,61.57006378,-2.743981316
DNS0695,50,-4.729691784
DNS0696,96.39011917,-2.557861793
DNS0697,93.09823249,-1.293231974
DNS0698,77.50628031,-3.149909546
DNS0700,92.09273391,-1.400670999
DNS0701,95.82139781,-2.019668869
DNS0702,94.66117898,-1.963454805
DNS0703,95.84520181,-2.963927483
DNS0704,89.88584678,-2.554709033
DNS0705,92.01074609,-2.832243372
DNS0706,95.09250433,-2.631658923
DNS0707,73.95602233,-2.472503743
DNS0708,88.68479601,-3.749263876
DNS0709,99.0412445,-1.403910182
DNS0710,81.49163265,-2.127273909
DNS0711,61.21309925,-3.978247726
DNS0712,92.99530559,-2.433943384
DNS0713,87.82874438,-2.384390393
DNS0714,93.77080172,-2.758170881
DNS0715,95.63094022,-2.845447067
DNS0717,49.17904294,-3.222913279
DNS0718,89.1051199,-2.692887865
DNS0719,80.81464292,-2.494817265
DNS0720,90.60124839,-2.228564641
DNS0721,96.22958733,-2.319062171
DNS0722,92.11190207,-2.97943698
DNS0723,88.50158565,-1.954101725
DNS0724,33.46068035,-3.726152707
DNS0726,74.61421477,-2.440898582
DNS0727,85.45070888,-0.997123845
DNS0728,91.66262602,-2.624172123
DNS0729,24.91688546,-4.173918179
DNS0730,98.04766074,-1.384940028
DNS0731,94.50999954,-1.285179007
DNS0732,47.75617645,-3.962756857
DNS0733,93.21307892,-2.64442449
DNS0734,96.71980682,-1.534001157
DNS0735,72.31013924,-2.931748258
DNS0736,95.99696489,-0.77225759
DNS0737,97.51035175,-1.873817104
DNS0739,75.13398761,-2.104145544
DNS0740,81.121477,-2.070708154
DNS0741,93.58708138,-3.815595325
DNS0742,79.0453132,-1.867269955
DNS0743,93.26564322,-2.600653585
